Poster,PosterParty,TweetDate,TotalTweetCount
Eric THIEBAUT,PS,2024-04-17,16
Peter Mertens MP,PVDA-PTB,2024-04-02,16
Ben Achour Malik,PS,2024-02-28,15
Theo Francken MP,N-VA,2024-01-26,15
Eric THIEBAUT,PS,2024-02-28,15
Eric THIEBAUT,PS,2024-03-18,15
Katleen Bury,VB,2024-02-09,15
Sofie Merckx,PVDA-PTB,2024-02-21,15
Tomas Roggeman,N-VA,2024-02-29,15
Frank Troosters,VB,2024-03-12,15
Theo Francken MP,N-VA,2024-05-01,15
Sofie Merckx,PVDA-PTB,2024-05-01,15
Joris Vandenbroucke,Vooruit,2024-03-13,15
Gilles Vanden Burre,Ecolo-Groen,2024-04-03,15
Theo Francken MP,N-VA,2024-03-29,15
Ben Achour Malik,PS,2024-02-09,15
Wouter Vermeersch,VB,2024-05-01,15
Eric THIEBAUT,PS,2024-02-04,15
Pieter De Spiegeleer,VB,2024-03-13,15
Eric THIEBAUT,PS,2024-03-10,15
François De Smet,DéFI,2024-02-22,15
Catherine Fonck,Les Engagés,2024-03-20,15
Dominiek Sneppe,VB,2024-03-26,15
Barbara Pas,VB,2024-04-16,15
Darya Safai MP,N-VA,,15
Frank Troosters,VB,2024-04-28,14
Theo Francken MP,N-VA,2024-04-19,14
Theo Francken MP,N-VA,2024-02-06,14
Georges Dallemagne,Les Engagés,2024-02-26,14
Ben Achour Malik,PS,2024-01-30,14
Frieda Gijbels,N-VA,2023-06-15,14
Raoul Hedebouw,PVDA-PTB,2024-04-14,14
Theo Francken MP,N-VA,2024-03-24,14
François De Smet,DéFI,2024-04-24,14
Theo Francken MP,N-VA,2024-04-08,14
Marie Christine Marghem,MR,2024-04-13,14
Eric THIEBAUT,PS,2024-02-10,14
Theo Francken MP,N-VA,2024-03-18,14
Joris De Vriendt,VB,2024-04-24,14
Eric THIEBAUT,PS,2024-03-09,14
Joris De Vriendt,VB,2024-02-01,14
Anja Vanrobaeys,Vooruit,2024-04-18,14
Frank Troosters,VB,2024-03-21,14
Frank Troosters,VB,2024-05-02,14
