Poster,PosterParty,TweetDate,TotalTweetCount
Egbert Lachaert,Open Vld,2024-02-01,3
Denis Ducarme,MR,2024-04-11,3
Patrick Prévot,PS,2024-04-25,3
Georges Dallemagne,Les Engagés,2024-04-24,3
Daniel Senesael,PS,2023-02-14,3
Tomas Roggeman,N-VA,2024-04-24,3
François De Smet,DéFI,2024-01-18,3
Denis Ducarme,MR,2024-03-18,3
Peter De Roover,N-VA,2023-12-07,3
Anneleen Van Bossuyt,N-VA,2024-03-22,3
Frieda Gijbels,N-VA,2024-01-17,3
Yngvild Ingels,N-VA,2023-06-29,3
Jef Van den Bergh ☀️,cd&v,2023-11-07,3
Tomas Roggeman,N-VA,2024-02-02,3
François De Smet,DéFI,2024-03-18,3
Catherine Fonck,Les Engagés,2024-04-12,3
Denis Ducarme,MR,2024-04-06,3
Samuel Cogolati,Ecolo-Groen,2024-03-07,3
Catherine Fonck,Les Engagés,2024-04-08,3
Kurt Ravyts,VB,2022-05-05,3
Georges Dallemagne,Les Engagés,2024-04-18,3
Eva Platteau,Ecolo-Groen,2024-01-24,3
Servais Verherstraeten,cd&v,2023-11-09,3
Nadia Moscufo,PVDA-PTB,2024-04-11,3
Marco Van Hees,PVDA-PTB,2024-02-09,3
Louis Mariage,Ecolo-Groen,2024-03-28,3
Reccino Van Lommel,VB,2024-02-27,3
Catherine Fonck,Les Engagés,2024-02-28,3
Sophie Rohonyi,DéFI,2024-01-26,3
Guillaume Defossé,Ecolo-Groen,2024-04-03,3
Georges Dallemagne,Les Engagés,2024-04-11,3
Sander Loones,N-VA,2023-05-11,3
Eric THIEBAUT,PS,2024-03-28,3
Koen Metsu,N-VA,2023-12-01,3
André Flahaut,PS,2024-03-13,3
Sarah Schlitz,Ecolo-Groen,2024-03-08,3
Guillaume Defossé,Ecolo-Groen,2024-02-07,3
Frank Troosters,VB,2024-03-09,3
François De Smet,DéFI,2024-03-22,3
Peter Mertens MP,PVDA-PTB,2024-02-09,3
Denis Ducarme,MR,2024-04-09,3
Ben Segers,Vooruit,2024-04-22,3
Maggie De Block,Open Vld,2024-04-23,3
Koen Metsu,N-VA,2024-01-27,3
Jef Van den Bergh ☀️,cd&v,2023-12-19,3
Guillaume Defossé,Ecolo-Groen,2024-02-16,3
Philippe TISON,PS,2021-12-16,3
Sander Loones,N-VA,2024-01-11,3
Frieda Gijbels,N-VA,2024-04-21,3
Gilles Vanden Burre,Ecolo-Groen,2024-04-25,3
Wouter Beke,cd&v,2024-01-30,3
Barbara Pas,VB,2024-04-04,3
Maggie De Block,Open Vld,2024-02-22,3
Robby De Caluwé,Open Vld,2024-01-21,3
Ortwin Depoortere,VB,2024-02-01,3
Maggie De Block,Open Vld,2024-02-25,3
Pieter De Spiegeleer,VB,2024-03-16,3
Ortwin Depoortere,VB,2024-03-02,3
André Flahaut,PS,2024-02-07,3
Vanessa Matz,Les Engagés,2024-03-19,3
Sander Loones,N-VA,2024-02-07,3
Robby De Caluwé,Open Vld,2024-04-28,3
Joris Vandenbroucke,Vooruit,2024-01-31,3
Gilles Vanden Burre,Ecolo-Groen,2024-03-28,3
Theo Francken MP,N-VA,2024-02-10,3
Ben Achour Malik,PS,2024-04-24,3
Nadia Moscufo,PVDA-PTB,2024-03-13,3
Egbert Lachaert,Open Vld,2024-02-10,3
Christian Leysen 🎷,Open Vld,2024-04-02,3
Pieter De Spiegeleer,VB,2024-01-24,3
Sophie Rohonyi,DéFI,2024-01-23,3
Tim Vandenput,Open Vld,2023-07-13,3
Tomas Roggeman,N-VA,2024-02-25,3
Katleen Bury,VB,2024-03-23,3
Samuel Cogolati,Ecolo-Groen,2024-02-22,3
Anja Vanrobaeys,Vooruit,2024-01-11,3
Chanelle Bonaventure,PS,2024-04-17,3
Mathieu Bihet,MR,2024-02-16,3
Darya Safai MP,N-VA,2024-03-30,3
Kim Buyst,Ecolo-Groen,2024-02-28,3
Robby De Caluwé,Open Vld,2024-04-16,3
Hugues Bayet,PS,2023-01-19,3
Koen Geens,cd&v,2024-01-18,3
Katleen Bury,VB,2024-05-01,3
Christophe Lacroix,PS,2024-04-16,3
Ben Achour Malik,PS,2024-04-16,3
Marie Christine Marghem,MR,2024-03-08,3
Khalil Aouasti,PS,2023-11-23,3
Sarah Schlitz,Ecolo-Groen,2024-01-25,3
Simon Moutquin,Ecolo-Groen,2024-02-29,3
Darya Safai MP,N-VA,2024-04-25,3
Piedboeuf Benoît,MR,2023-11-17,3
Egbert Lachaert,Open Vld,2024-02-17,3
Denis Ducarme,MR,2024-03-23,3
Hervé Rigot,PS,2022-12-15,3
Wouter Beke,cd&v,2024-04-26,3
Sarah Schlitz,Ecolo-Groen,2024-01-29,3
Dominiek Sneppe,VB,2024-04-12,3
Egbert Lachaert,Open Vld,2024-04-14,3
Georges Dallemagne,Les Engagés,2024-04-07,3
Egbert Lachaert,Open Vld,2024-03-22,3
Gilles Vanden Burre,Ecolo-Groen,2024-02-11,3
Denis Ducarme,MR,2024-04-30,3
Simon Moutquin,Ecolo-Groen,2024-03-12,3
Egbert Lachaert,Open Vld,2024-04-09,3
Michael Freilich,N-VA,2024-02-28,3
Khalil Aouasti,PS,2023-12-21,3
Jean Marie Dedecker,ONAFH,2024-01-14,3
Tomas Roggeman,N-VA,2024-01-31,3
Simon Moutquin,Ecolo-Groen,2024-02-03,3
Séverine de Laveleye,Ecolo-Groen,2024-03-13,3
Sander Loones,N-VA,2024-01-26,3
Ben Achour Malik,PS,2024-03-23,3
Catherine Fonck,Les Engagés,2024-03-06,3
Vicky Reynaert,Vooruit,2023-12-14,3
André Flahaut,PS,2024-03-21,3
Els Van Hoof,cd&v,2024-01-13,3
Patrick Prévot,PS,2024-02-14,3
Pieter De Spiegeleer,VB,2024-04-14,3
Catherine Fonck,Les Engagés,2024-04-02,3
Christian Leysen 🎷,Open Vld,2024-02-27,3
Marianne Verhaert,Open Vld,2024-01-18,3
Anja Vanrobaeys,Vooruit,2024-03-28,3
Annick Ponthier,VB,2024-03-15,3
Eva Platteau,Ecolo-Groen,2024-04-24,3
Greet Daems,PVDA-PTB,2023-12-07,3
Jean-Marc Delizée,PS,2024-02-09,3
Eva Platteau,Ecolo-Groen,2024-02-29,3
Vincent Van Quickenborne,Open Vld,2023-09-20,3
Marco Van Hees,PVDA-PTB,2024-02-07,3
Ben Achour Malik,PS,2024-03-12,3
Mathieu Bihet,MR,2024-03-21,3
Catherine Fonck,Les Engagés,2024-03-08,3
Vincent Scourneau,MR,2019-10-25,3
Georges Dallemagne,Les Engagés,2024-04-21,3
Darya Safai MP,N-VA,2024-04-22,3
Sander Loones,N-VA,2024-02-19,3
François De Smet,DéFI,2024-03-30,3
kathleen depoorter,N-VA,2024-02-27,3
Gilles Vanden Burre,Ecolo-Groen,2024-02-17,3
Marie Christine Marghem,MR,2024-04-30,3
Steven Creyelman,VB,2024-05-02,3
Joris De Vriendt,VB,2024-02-04,3
Tomas Roggeman,N-VA,2024-02-09,3
Sophie Wilmès,MR,2024-03-19,3
Louis Mariage,Ecolo-Groen,2024-01-29,3
Thémont Sophie,PS,2023-10-05,3
Anja Vanrobaeys,Vooruit,2024-03-21,3
Peter Buysrogge ✌,N-VA,2024-03-28,3
Denis Ducarme,MR,2024-02-09,3
Pieter De Spiegeleer,VB,2024-05-01,3
François De Smet,DéFI,2024-03-31,3
Daniel Senesael,PS,2023-05-30,3
Sander Loones,N-VA,2024-04-17,3
Ahmed Laaouej,PS,2024-04-25,3
Wouter Vermeersch,VB,2024-02-22,3
Frieda Gijbels,N-VA,2024-03-22,3
Denis Ducarme,MR,2024-04-17,3
Barbara Pas,VB,2024-03-14,3
Wim Van der Donckt,N-VA,2024-03-28,3
Marie Christine Marghem,MR,2024-01-23,3
Ben Achour Malik,PS,2024-03-29,3
André Flahaut,PS,2024-02-16,3
Hendrik Bogaert,cd&v,2023-12-09,3
Ben Achour Malik,PS,2024-04-04,3
Sophie De Wit,N-VA,2024-04-25,3
Eliane Tillieux,PS,2024-02-12,3
Darya Safai MP,N-VA,2023-11-23,3
Philippe Goffin,MR,2021-05-18,3
Wouter Beke,cd&v,2024-03-07,3
André Flahaut,PS,2024-04-16,3
Tomas Roggeman,N-VA,2024-02-03,3
Marianne Verhaert,Open Vld,2024-01-04,3
Simon Moutquin,Ecolo-Groen,2024-02-15,3
Catherine Fonck,Les Engagés,2024-05-02,3
Michael Freilich,N-VA,2024-02-19,3
kathleen depoorter,N-VA,2024-02-29,3
Sophie De Wit,N-VA,2024-03-15,3
Joris De Vriendt,VB,2024-03-23,3
wouter raskin,N-VA,2023-12-23,3
Darya Safai MP,N-VA,2024-03-17,3
Els Van Hoof,cd&v,2024-04-06,3
NawalFarih,cd&v,2024-04-22,3
Frank Troosters,VB,2024-04-09,3
Wouter Beke,cd&v,2024-02-12,3
Wim Van der Donckt,N-VA,2024-03-15,3
Guillaume Defossé,Ecolo-Groen,2024-04-26,3
kathleen depoorter,N-VA,2024-01-27,3
Wouter De Vriendt,Ecolo-Groen,2024-04-26,3
Greet Daems,PVDA-PTB,2023-12-19,3
Peter De Roover,N-VA,2024-02-20,3
Piedboeuf Benoît,MR,2023-10-24,3
Ben Achour Malik,PS,2024-02-01,3
Joris De Vriendt,VB,2024-04-13,3
Joris De Vriendt,VB,2024-04-15,3
François De Smet,DéFI,2024-04-12,3
Nadia Moscufo,PVDA-PTB,2024-01-11,3
Wouter Vermeersch,VB,2024-03-10,3
Raoul Hedebouw,PVDA-PTB,2024-02-13,3
Maggie De Block,Open Vld,2024-03-13,3
Egbert Lachaert,Open Vld,2024-01-31,3
Theo Francken MP,N-VA,2023-02-21,3
Sofie Merckx,PVDA-PTB,2024-02-13,3
André Flahaut,PS,2024-04-20,3
kathleen depoorter,N-VA,2024-01-30,3
Georges Dallemagne,Les Engagés,2024-02-19,3
Pieter De Spiegeleer,VB,2024-02-24,3
Sofie Merckx,PVDA-PTB,2024-01-25,3
Chanelle Bonaventure,PS,2024-03-19,3
Jean Marie Dedecker,ONAFH,2024-01-15,3
Darya Safai MP,N-VA,2024-02-19,3
Servais Verherstraeten,cd&v,2023-12-07,3
Barbara Pas,VB,2024-03-01,3
Ortwin Depoortere,VB,2024-01-30,3
Wouter Vermeersch,VB,2024-03-06,3
Ortwin Depoortere,VB,2024-02-17,3
Denis Ducarme,MR,2024-03-19,3
Ortwin Depoortere,VB,2024-03-08,3
Frank Troosters,VB,2024-04-08,3
Sophie Rohonyi,DéFI,2024-03-03,3
Frieda Gijbels,N-VA,2024-02-22,3
Marco Van Hees,PVDA-PTB,2024-02-17,3
Caroline Taquin,MR,2024-01-18,3
Pieter De Spiegeleer,VB,2024-04-17,3
Kristof Calvo,Ecolo-Groen,2024-02-07,3
Christian Leysen 🎷,Open Vld,2024-02-22,3
Ortwin Depoortere,VB,2024-01-23,3
François De Smet,DéFI,2024-03-01,3
Barbara Pas,VB,2024-04-29,3
Mathieu Bihet,MR,2024-03-15,3
Ben Achour Malik,PS,2024-03-31,3
Peter Mertens MP,PVDA-PTB,2024-03-06,3
Meryame Kitir,Vooruit,2022-10-12,3
Khalil Aouasti,PS,2024-04-28,3
Wouter Vermeersch,VB,2024-04-12,3
Patrick Prévot,PS,2024-03-12,3
Sophie De Wit,N-VA,2024-04-11,3
Eric THIEBAUT,PS,2024-05-02,3
Sophie Rohonyi,DéFI,2024-03-21,3
Sofie Merckx,PVDA-PTB,2024-04-06,3
Chanelle Bonaventure,PS,2024-01-10,3
Sophie Rohonyi,DéFI,2024-03-12,3
Piedboeuf Benoît,MR,2024-01-25,3
Sofie Merckx,PVDA-PTB,2024-02-25,3
André Flahaut,PS,2024-01-26,3
kathleen depoorter,N-VA,2024-02-24,3
Maria Vindevoghel,PVDA-PTB,2024-04-25,3
Denis Ducarme,MR,2024-03-24,3
Sophie Rohonyi,DéFI,2024-02-28,3
Denis Ducarme,MR,2024-04-03,3
Sander Loones,N-VA,2024-03-28,3
Michael Freilich,N-VA,2024-03-12,3
Nabil Boukili,PVDA-PTB,2024-03-28,3
Maria Vindevoghel,PVDA-PTB,2024-03-14,3
Louis Mariage,Ecolo-Groen,2024-02-07,3
Ahmed Laaouej,PS,2024-02-29,3
Tomas Roggeman,N-VA,2024-03-03,3
Tom Van Grieken (BACKUP PROFIEL),VB,2021-04-10,3
Emir KIR,ONAFH,,3
Sander Loones,N-VA,2024-04-22,3
Catherine Fonck,Les Engagés,2024-01-15,3
Raoul Hedebouw,PVDA-PTB,2024-04-06,3
Christophe Lacroix,PS,2024-03-19,3
Simon Moutquin,Ecolo-Groen,2024-02-08,3
Peter Mertens MP,PVDA-PTB,2024-03-26,3
Peter Mertens MP,PVDA-PTB,2024-03-02,3
Maggie De Block,Open Vld,2024-02-07,3
Sofie Merckx,PVDA-PTB,2024-01-31,3
Darya Safai MP,N-VA,2024-03-01,3
Theo Francken MP,N-VA,2023-11-19,3
Sander Loones,N-VA,2024-04-16,3
Mathieu Bihet,MR,2024-03-17,3
Steven Creyelman,VB,2024-03-12,3
Dominiek Sneppe,VB,2024-04-10,3
Sofie Merckx,PVDA-PTB,2024-02-07,3
Patrick Prévot,PS,2024-04-19,3
Marco Van Hees,PVDA-PTB,2023-12-21,3
Barbara Pas,VB,2024-03-13,3
François De Smet,DéFI,2024-04-11,3
Theo Francken MP,N-VA,2024-02-08,3
Annick Ponthier,VB,2024-03-20,3
kathleen depoorter,N-VA,2024-03-12,3
Sophie Rohonyi,DéFI,2024-01-30,3
Pieter De Spiegeleer,VB,2024-03-25,3
François De Smet,DéFI,2024-04-23,3
Peter Mertens MP,PVDA-PTB,2024-03-22,3
Raoul Hedebouw,PVDA-PTB,2024-03-22,3
Gilles Vanden Burre,Ecolo-Groen,2024-02-28,3
Wouter De Vriendt,Ecolo-Groen,2024-01-25,3
Anja Vanrobaeys,Vooruit,2024-03-07,3
Peter Mertens MP,PVDA-PTB,2024-04-08,3
Hendrik Bogaert,cd&v,2024-01-01,3
Pieter De Spiegeleer,VB,2024-02-26,3
Nabil Boukili,PVDA-PTB,2024-04-02,3
Frieda Gijbels,N-VA,2024-01-10,3
Ahmed Laaouej,PS,2024-02-04,3
Peter Mertens MP,PVDA-PTB,2024-02-24,3
François De Smet,DéFI,2024-04-01,3
Sophie Rohonyi,DéFI,2024-04-20,3
Denis Ducarme,MR,2024-02-10,3
Wouter Beke,cd&v,2024-02-27,3
Gilles Vanden Burre,Ecolo-Groen,2024-02-27,3
Sofie Merckx,PVDA-PTB,2024-04-12,3
Anja Vanrobaeys,Vooruit,2024-03-12,3
Els Van Hoof,cd&v,2024-04-23,3
Nabil Boukili,PVDA-PTB,2022-06-09,3
Sophie Rohonyi,DéFI,2024-03-19,3
Sofie Merckx,PVDA-PTB,2024-03-18,3
Sophie De Wit,N-VA,2024-04-29,3
Peter Mertens MP,PVDA-PTB,2024-02-13,3
Peter Mertens MP,PVDA-PTB,2024-02-06,3
Mathieu Bihet,MR,2024-03-22,3
Annick Ponthier,VB,2024-04-13,3
Reccino Van Lommel,VB,2024-01-31,3
Steven De Vuyst,PVDA-PTB,2024-01-24,3
Gilles Vanden Burre,Ecolo-Groen,2024-03-05,3
Georges Dallemagne,Les Engagés,2024-04-02,3
Catherine Fonck,Les Engagés,2024-02-09,3
Khalil Aouasti,PS,2024-02-18,3
Anja Vanrobaeys,Vooruit,2024-01-18,3
Michael Freilich,N-VA,2024-02-20,3
Denis Ducarme,MR,2024-02-13,3
Christophe Lacroix,PS,2024-02-28,3
Sofie Merckx,PVDA-PTB,2023-12-28,3
Steven De Vuyst,PVDA-PTB,2023-12-30,3
Sofie Merckx,PVDA-PTB,2024-05-02,3
Bert Wollants,N-VA,2024-02-06,3
Sarah Schlitz,Ecolo-Groen,2024-01-15,3
Séverine de Laveleye,Ecolo-Groen,2024-01-24,3
Steven Creyelman,VB,2024-02-01,3
Steven Creyelman,VB,2024-03-14,3
Peter De Roover,N-VA,2023-12-28,3
Ahmed Laaouej,PS,2024-04-17,3
Ortwin Depoortere,VB,2024-04-18,3
Claire Hugon,Ecolo-Groen,2024-04-09,3
Georges Dallemagne,Les Engagés,2024-01-13,3
Pieter De Spiegeleer,VB,2024-02-14,3
Michael Freilich,N-VA,,3
Robby De Caluwé,Open Vld,2024-03-02,3
Raoul Hedebouw,PVDA-PTB,2024-04-23,3
Sofie Merckx,PVDA-PTB,2024-01-28,3
Joris Vandenbroucke,Vooruit,2024-03-14,3
Ahmed Laaouej,PS,2024-05-02,3
Anja Vanrobaeys,Vooruit,2024-04-25,3
Ben Achour Malik,PS,2024-04-22,3
Daniel Bacquelaine,MR,2024-04-04,3
Theo Francken MP,N-VA,2024-04-20,3
Robby De Caluwé,Open Vld,2024-03-29,3
Darya Safai MP,N-VA,2024-04-10,3
Sander Loones,N-VA,2024-03-09,3
Chanelle Bonaventure,PS,2024-02-07,3
Peter De Roover,N-VA,2024-03-13,3
Maggie De Block,Open Vld,2024-03-26,3
Ben Segers,Vooruit,2022-07-29,3
kathleen depoorter,N-VA,2024-04-04,3
Sander Loones,N-VA,2024-03-30,3
Sigrid Goethals,N-VA,2023-12-21,3
Theo Francken MP,N-VA,2024-03-02,3
Peter De Roover,N-VA,2024-04-26,3
Maggie De Block,Open Vld,2024-03-24,3
Tomas Roggeman,N-VA,2024-01-17,3
Samuel Cogolati,Ecolo-Groen,2024-04-14,3
Sofie Merckx,PVDA-PTB,2024-04-29,3
Simon Moutquin,Ecolo-Groen,2024-04-18,3
Barbara Pas,VB,2024-05-01,3
kathleen depoorter,N-VA,2024-02-23,3
Barbara Pas,VB,2024-02-16,3
Caroline Taquin,MR,2024-04-03,3
Denis Ducarme,MR,2024-03-30,3
Kristof Calvo,Ecolo-Groen,,3
Wouter Beke,cd&v,2024-02-19,3
Ortwin Depoortere,VB,2024-04-27,3
Sofie Merckx,PVDA-PTB,2024-01-26,3
Pieter De Spiegeleer,VB,2024-04-21,3
Kristien Van Vaerenbergh🎗️,N-VA,2024-04-24,3
Christian Leysen 🎷,Open Vld,2024-02-03,3
Ben Achour Malik,PS,2024-03-02,3
Özlem Özen,PS,2023-04-19,3
Florence Reuter,MR,2023-03-29,3
Tomas Roggeman,N-VA,2024-01-18,3
Sophie Rohonyi,DéFI,2024-04-08,3
Maggie De Block,Open Vld,2024-04-27,3
Gaby Colebunders,PVDA-PTB,2023-12-20,3
François De Smet,DéFI,2024-04-03,3
Meryame Kitir,Vooruit,2022-10-06,3
Sigrid Goethals,N-VA,2023-12-18,3
Michel De Maegd,MR,2023-12-14,3
Sophie De Wit,N-VA,2024-03-26,3
Mathieu Bihet,MR,2024-03-04,3
Roberto D'Amico,PVDA-PTB,2023-10-13,3
Patrick Prévot,PS,2024-01-12,3
Kim Buyst,Ecolo-Groen,,3
Eliane Tillieux,PS,2024-03-21,3
Darya Safai MP,N-VA,2024-03-26,3
Sophie De Wit,N-VA,2024-03-01,3
Peter De Roover,N-VA,2024-04-18,3
Laurence Zanchetta,PS,2022-11-18,3
Joris Vandenbroucke,Vooruit,2024-04-22,3
Georges Dallemagne,Les Engagés,2024-04-30,3
Mathieu Bihet,MR,2024-02-07,3
Raoul Hedebouw,PVDA-PTB,2024-03-14,3
Jef Van den Bergh ☀️,cd&v,2024-02-29,3
Anja Vanrobaeys,Vooruit,2024-03-25,3
Gaby Colebunders,PVDA-PTB,2024-02-06,3
Hans Verreyt,VB,2024-01-11,3
Georges Dallemagne,Les Engagés,2024-03-19,3
Leslie Leoni,PS,2023-10-18,3
Robby De Caluwé,Open Vld,2024-04-09,3
dieter van besien,Ecolo-Groen,2024-02-20,3
Mathieu Bihet,MR,2024-03-26,3
Dominiek Sneppe,VB,2024-03-06,3
Barbara Pas,VB,2024-04-21,3
Joris Vandenbroucke,Vooruit,2024-02-26,3
Denis Ducarme,MR,2024-03-13,3
Sophie De Wit,N-VA,2024-03-28,3
Els Van Hoof,cd&v,2024-04-08,3
Ahmed Laaouej,PS,2024-03-18,3
Eric THIEBAUT,PS,2024-04-20,3
Dominiek Sneppe,VB,2024-03-19,3
Vicky Reynaert,Vooruit,2023-12-07,3
Sophie Rohonyi,DéFI,2024-01-24,3
Wouter De Vriendt,Ecolo-Groen,2024-01-31,3
Gilles Vanden Burre,Ecolo-Groen,2024-02-09,3
Christian Leysen 🎷,Open Vld,2024-04-25,3
Denis Ducarme,MR,2024-03-14,3
Gitta Vanpeborgh,Vooruit,2024-02-20,3
Joris De Vriendt,VB,2024-04-28,3
Michael Freilich,N-VA,2024-04-04,3
Georges Dallemagne,Les Engagés,2024-02-24,3
Khalil Aouasti,PS,2024-03-23,3
Emir KIR,ONAFH,2023-12-06,3
Ortwin Depoortere,VB,2024-03-24,3
Anja Vanrobaeys,Vooruit,2024-01-23,3
Peter Mertens MP,PVDA-PTB,2024-02-21,3
Valerie Van Peel,N-VA,2024-03-17,3
Dominiek Sneppe,VB,2024-03-05,3
Darya Safai MP,N-VA,2023-11-26,3
Louis Mariage,Ecolo-Groen,2024-04-17,3
Ahmed Laaouej,PS,2024-03-20,3
Peter Mertens MP,PVDA-PTB,2024-03-29,3
Frank Troosters,VB,2024-02-26,3
Chanelle Bonaventure,PS,2024-04-03,3
Jean Marie Dedecker,ONAFH,2024-01-28,2
Eliane Tillieux,PS,2022-01-11,2
Maggie De Block,Open Vld,2024-02-27,2
Caroline Taquin,MR,2024-02-01,2
Denis Ducarme,MR,2024-02-27,2
Jean Marie Dedecker,ONAFH,2024-02-27,2
Ortwin Depoortere,VB,2024-04-24,2
Frieda Gijbels,N-VA,2024-04-26,2
Marie Christine Marghem,MR,2024-01-01,2
Peter Mertens MP,PVDA-PTB,2024-04-28,2
Dominiek Sneppe,VB,2024-02-01,2
Vincent Van Quickenborne,Open Vld,2023-10-13,2
Gilles Vanden Burre,Ecolo-Groen,2024-03-06,2
Chanelle Bonaventure,PS,2024-04-19,2
Meryame Kitir,Vooruit,2022-10-14,2
Nahima Lanjri,cd&v,2024-04-14,2
Georges Dallemagne,Les Engagés,2024-04-04,2
Koen Metsu,N-VA,2023-11-22,2
Wouter De Vriendt,Ecolo-Groen,2024-03-20,2
Laurence Hennuy,Ecolo-Groen,2023-10-11,2
Wouter Beke,cd&v,2024-04-04,2
Michael Freilich,N-VA,2024-02-16,2
dieter van besien,Ecolo-Groen,2024-05-01,2
Gaby Colebunders,PVDA-PTB,2024-01-05,2
Samuel Cogolati,Ecolo-Groen,2024-03-02,2
Chanson julie,Ecolo-Groen,2023-10-15,2
Sofie Merckx,PVDA-PTB,2024-02-03,2
Emir KIR,ONAFH,2024-02-24,2
Pieter De Spiegeleer,VB,2024-02-17,2
kathleen depoorter,N-VA,2024-03-21,2
Raoul Hedebouw,PVDA-PTB,2024-02-12,2
Samuel Cogolati,Ecolo-Groen,2024-04-25,2
Nahima Lanjri,cd&v,2024-04-18,2
Michael Freilich,N-VA,2024-04-16,2
Sophie Wilmès,MR,2024-04-21,2
Greet Daems,PVDA-PTB,2024-01-10,2
Christophe Lacroix,PS,2024-02-21,2
Nadia Moscufo,PVDA-PTB,2024-04-30,2
Ortwin Depoortere,VB,2024-02-25,2
Georges Dallemagne,Les Engagés,2024-02-07,2
Catherine Fonck,Les Engagés,2024-03-19,2
Marie Christine Marghem,MR,2024-01-15,2
André Flahaut,PS,2024-03-26,2
Ben Achour Malik,PS,2024-03-27,2
Wouter Beke,cd&v,2024-04-23,2
Kristien Van Vaerenbergh🎗️,N-VA,2023-12-15,2
Sophie Wilmès,MR,2023-05-01,2
Patrick Prévot,PS,2024-01-18,2
Catherine Fonck,Les Engagés,2024-01-20,2
Joris Vandenbroucke,Vooruit,2024-05-02,2
kathleen depoorter,N-VA,2024-01-31,2
Bert Wollants,N-VA,2024-03-22,2
Sofie Merckx,PVDA-PTB,2024-03-09,2
Séverine de Laveleye,Ecolo-Groen,2024-03-28,2
Darya Safai MP,N-VA,2024-03-09,2
Raoul Hedebouw,PVDA-PTB,2024-02-01,2
Wim Van der Donckt,N-VA,2024-02-02,2
Pieter De Spiegeleer,VB,2024-04-06,2
Séverine de Laveleye,Ecolo-Groen,2023-12-12,2
Simon Moutquin,Ecolo-Groen,2024-02-13,2
Caroline Taquin,MR,2023-12-18,2
Koen Geens,cd&v,2024-03-19,2
Theo Francken MP,N-VA,2024-01-24,2
Jef Van den Bergh ☀️,cd&v,2024-01-25,2
Sander Loones,N-VA,2024-04-03,2
Jef Van den Bergh ☀️,cd&v,2024-02-25,2
Nabil Boukili,PVDA-PTB,2023-12-06,2
Patrick Prévot,PS,2024-01-09,2
Anja Vanrobaeys,Vooruit,2024-01-26,2
Peter Mertens MP,PVDA-PTB,2024-04-01,2
Darya Safai MP,N-VA,2024-01-03,2
Séverine de Laveleye,Ecolo-Groen,2024-04-19,2
Guillaume Defossé,Ecolo-Groen,2024-04-16,2
Barbara Pas,VB,2024-02-27,2
Wim Van der Donckt,N-VA,2024-04-18,2
Philippe Goffin,MR,2021-05-14,2
André Flahaut,PS,2024-01-31,2
Steven De Vuyst,PVDA-PTB,2024-01-10,2
Vicky Reynaert,Vooruit,2023-11-09,2
Hans Verreyt,VB,2024-03-11,2
Bert Wollants,N-VA,2024-04-30,2
André Flahaut,PS,2024-04-07,2
Peter De Roover,N-VA,2024-04-20,2
Gilles Vanden Burre,Ecolo-Groen,2024-01-29,2
Katja Gabriëls,Open Vld,2024-02-23,2
Steven De Vuyst,PVDA-PTB,2024-02-06,2
Egbert Lachaert,Open Vld,2024-02-20,2
Reccino Van Lommel,VB,2024-04-14,2
Catherine Fonck,Les Engagés,2024-03-21,2
Jef Van den Bergh ☀️,cd&v,2024-03-04,2
Samuel Cogolati,Ecolo-Groen,2022-12-06,2
Nathalie Muylle,cd&v,2023-11-23,2
Ortwin Depoortere,VB,2024-01-18,2
Mathieu Bihet,MR,2024-02-25,2
Gilles Vanden Burre,Ecolo-Groen,2024-01-28,2
Peter Buysrogge ✌,N-VA,2023-10-11,2
Servais Verherstraeten,cd&v,2024-02-06,2
Melissa Depraetere,Vooruit,2024-01-10,2
Egbert Lachaert,Open Vld,2024-04-20,2
Sofie Merckx,PVDA-PTB,2023-10-11,2
Joris Vandenbroucke,Vooruit,2024-04-25,2
Chanelle Bonaventure,PS,2024-02-28,2
Mathieu Bihet,MR,2024-03-05,2
Jef Van den Bergh ☀️,cd&v,2024-03-19,2
Kristien Van Vaerenbergh🎗️,N-VA,2024-02-12,2
Sander Loones,N-VA,2024-01-13,2
Eric THIEBAUT,PS,2024-03-03,2
Eliane Tillieux,PS,2024-01-25,2
François De Smet,DéFI,2024-02-27,2
Wouter Beke,cd&v,2024-02-05,2
Eliane Tillieux,PS,2024-02-07,2
Joris De Vriendt,VB,2024-04-05,2
Maria Vindevoghel,PVDA-PTB,2024-03-08,2
Wouter Beke,cd&v,2024-02-04,2
Séverine de Laveleye,Ecolo-Groen,2024-01-31,2
Greet Daems,PVDA-PTB,2024-02-20,2
Ahmed Laaouej,PS,2024-03-28,2
Georges Dallemagne,Les Engagés,2024-02-12,2
Darya Safai MP,N-VA,2024-03-13,2
Koen Geens,cd&v,2023-12-27,2
Hervé Rigot,PS,2021-05-02,2
Kim Buyst,Ecolo-Groen,2024-02-01,2
Nahima Lanjri,cd&v,2024-04-10,2
Chanelle Bonaventure,PS,2024-02-27,2
Vicky Reynaert,Vooruit,2023-11-29,2
Chanelle Bonaventure,PS,2024-04-18,2
Philippe TISON,PS,2022-02-09,2
Thémont Sophie,PS,2023-10-03,2
Catherine Fonck,Les Engagés,2024-04-29,2
Sigrid Goethals,N-VA,2024-04-02,2
Robby De Caluwé,Open Vld,2024-02-27,2
Vanessa Matz,Les Engagés,2024-02-15,2
Anja Vanrobaeys,Vooruit,2024-04-09,2
Christian Leysen 🎷,Open Vld,2024-01-28,2
